Lot_ID,Batch_ID,Wafer_ID,PECVD_Thick,Etch_Rate,Idsat,BVdss,Vth,Defect_Count,Yield_Percentage,Pass_Fail
LOT_1001,BATCH_501,WFR_01,1517.4,466.8,633.1,11.74,0.657,7,87.72,Pass
LOT_1001,BATCH_501,WFR_02,1495.2,461.1,646.4,12.16,0.698,6,90.94,Pass
LOT_1001,BATCH_501,WFR_03,1522.7,450.7,630.2,12.33,0.701,8,90.2,Pass
LOT_1001,BATCH_501,WFR_04,1553.3,442.2,642.3,13.26,0.724,10,86.18,Pass
LOT_1001,BATCH_501,WFR_05,1491.8,458.4,602.7,12.72,0.632,11,83.75,Fail
LOT_1001,BATCH_502,WFR_06,1491.8,454.7,655.3,11.97,0.73,6,92.2,Pass
LOT_1001,BATCH_502,WFR_07,1555.3,460.7,650.0,12.69,0.565,11,82.18,Fail
LOT_1001,BATCH_502,WFR_08,1526.9,457.6,629.6,11.88,0.669,11,86.41,Pass
LOT_1001,BATCH_502,WFR_09,1483.6,462.6,666.5,12.93,0.676,9,84.55,Fail
LOT_1001,BATCH_502,WFR_10,1519.0,443.6,673.4,12.31,0.732,9,85.66,Pass
LOT_1001,BATCH_503,WFR_11,1483.8,465.8,609.8,12.46,0.701,13,82.75,Fail
LOT_1001,BATCH_503,WFR_12,1483.7,452.4,630.9,13.03,0.63,7,89.65,Pass
LOT_1001,BATCH_503,WFR_13,1508.5,474.9,630.8,11.99,0.651,8,86.7,Pass
LOT_1001,BATCH_503,WFR_14,1433.0,441.7,626.5,11.94,0.71,16,77.79,Fail
LOT_1001,BATCH_503,WFR_15,1439.6,470.8,670.7,12.27,0.696,10,84.64,Fail
LOT_1001,BATCH_504,WFR_16,1480.3,452.4,645.2,12.92,0.671,10,86.05,Pass
LOT_1001,BATCH_504,WFR_17,1464.6,442.2,643.4,11.89,0.676,8,87.96,Pass
LOT_1001,BATCH_504,WFR_18,1511.0,444.2,599.9,11.37,0.735,9,84.25,Fail
LOT_1001,BATCH_504,WFR_19,1468.2,446.2,665.9,12.32,0.674,10,86.93,Pass
LOT_1001,BATCH_504,WFR_20,1450.6,455.1,619.0,12.72,0.696,13,82.31,Fail
LOT_1001,BATCH_505,WFR_21,1551.3,456.3,651.5,12.98,0.808,9,87.74,Pass
LOT_1001,BATCH_505,WFR_22,1492.1,443.1,656.9,12.31,0.629,8,86.57,Pass
LOT_1001,BATCH_505,WFR_23,1502.4,449.7,684.0,12.34,0.607,12,81.78,Fail
LOT_1001,BATCH_505,WFR_24,1450.1,475.7,617.3,12.96,0.739,12,84.14,Fail
LOT_1001,BATCH_505,WFR_25,1480.9,470.7,574.5,11.75,0.666,14,82.79,Fail
LOT_1002,BATCH_506,WFR_01,1503.9,455.2,654.6,12.34,0.684,7,91.54,Pass
LOT_1002,BATCH_506,WFR_02,1459.7,450.5,695.0,12.58,0.661,13,82.26,Fail
LOT_1002,BATCH_506,WFR_03,1513.1,451.4,681.0,12.68,0.687,7,89.55,Pass
LOT_1002,BATCH_506,WFR_04,1479.0,457.4,655.2,12.3,0.78,5,89.06,Pass
LOT_1002,BATCH_506,WFR_05,1489.8,437.7,637.7,12.51,0.74,3,94.05,Pass
LOT_1002,BATCH_507,WFR_06,1478.9,446.9,670.2,11.5,0.743,13,83.12,Fail
LOT_1002,BATCH_507,WFR_07,1564.8,430.0,625.7,12.24,0.629,13,79.94,Fail
LOT_1002,BATCH_507,WFR_08,1499.5,454.8,661.9,12.68,0.642,4,92.74,Pass
LOT_1002,BATCH_507,WFR_09,1463.0,457.8,662.6,12.11,0.558,9,86.2,Pass
LOT_1002,BATCH_507,WFR_10,1528.8,444.2,676.5,12.52,0.66,9,88.72,Pass
LOT_1002,BATCH_508,WFR_11,1457.3,468.9,719.0,12.68,0.748,16,78.89,Fail
LOT_1002,BATCH_508,WFR_12,1507.3,435.3,659.8,12.36,0.726,8,85.68,Pass
LOT_1002,BATCH_508,WFR_13,1431.4,432.4,637.3,12.57,0.689,11,83.85,Fail
LOT_1002,BATCH_508,WFR_14,1453.5,452.7,649.4,12.11,0.699,6,91.08,Pass
LOT_1002,BATCH_508,WFR_15,1506.9,462.6,605.8,12.42,0.666,12,82.47,Fail
LOT_1002,BATCH_509,WFR_16,1525.8,470.2,632.6,12.74,0.71,7,87.05,Pass
LOT_1002,BATCH_509,WFR_17,1506.0,444.5,639.8,12.56,0.738,8,89.03,Pass
LOT_1002,BATCH_509,WFR_18,1496.0,462.9,636.9,12.27,0.619,4,92.67,Pass
LOT_1002,BATCH_509,WFR_19,1489.5,449.5,653.8,12.59,0.715,9,84.41,Fail
LOT_1002,BATCH_509,WFR_20,1448.3,447.9,629.4,12.79,0.747,10,87.14,Pass
LOT_1002,BATCH_510,WFR_21,1474.8,460.6,678.0,11.68,0.679,12,82.0,Fail
LOT_1002,BATCH_510,WFR_22,1483.9,457.8,650.0,12.96,0.735,5,90.93,Pass
LOT_1002,BATCH_510,WFR_23,1537.0,431.1,649.8,12.37,0.841,8,87.0,Pass
LOT_1002,BATCH_510,WFR_24,1512.0,467.7,641.8,12.67,0.695,8,88.64,Pass
LOT_1002,BATCH_510,WFR_25,1438.3,466.6,653.9,12.98,0.72,7,90.03,Pass
LOT_1003,BATCH_511,WFR_01,1511.3,442.5,670.6,11.95,0.663,8,86.98,Pass
LOT_1003,BATCH_511,WFR_02,1486.5,454.7,628.3,12.22,0.709,11,85.72,Pass
LOT_1003,BATCH_511,WFR_03,1476.3,455.9,633.5,12.38,0.723,10,85.9,Pass
LOT_1003,BATCH_511,WFR_04,1521.4,453.1,642.4,12.19,0.71,9,88.26,Pass
LOT_1003,BATCH_511,WFR_05,1536.1,443.4,616.4,13.19,0.649,14,83.16,Fail
LOT_1003,BATCH_512,WFR_06,1532.6,441.9,629.5,12.16,0.71,9,84.35,Fail
LOT_1003,BATCH_512,WFR_07,1470.6,449.7,638.1,12.28,0.773,7,89.44,Pass
LOT_1003,BATCH_512,WFR_08,1489.2,464.1,671.9,12.58,0.722,12,80.75,Fail
LOT_1003,BATCH_512,WFR_09,1511.6,456.5,656.6,12.02,0.748,6,92.1,Pass
LOT_1003,BATCH_512,WFR_10,1534.1,445.6,654.8,12.34,0.688,9,86.26,Pass
LOT_1003,BATCH_513,WFR_11,1483.2,459.3,671.3,12.63,0.737,9,88.2,Pass
LOT_1003,BATCH_513,WFR_12,1493.5,415.8,646.6,12.37,0.714,4,91.25,Pass
LOT_1003,BATCH_513,WFR_13,1461.3,463.8,659.8,12.46,0.652,13,80.48,Fail
LOT_1003,BATCH_513,WFR_14,1458.1,429.1,647.4,12.29,0.716,12,85.04,Pass
LOT_1003,BATCH_513,WFR_15,1528.4,445.7,656.6,11.89,0.65,9,84.64,Fail
LOT_1003,BATCH_514,WFR_16,1547.5,436.6,635.4,12.63,0.668,9,88.23,Pass
LOT_1003,BATCH_514,WFR_17,1497.5,434.5,589.0,13.2,0.709,13,81.34,Fail
LOT_1003,BATCH_514,WFR_18,1535.1,463.9,646.6,12.51,0.715,8,85.47,Pass
LOT_1003,BATCH_514,WFR_19,1512.7,444.4,685.6,12.59,0.641,10,83.59,Fail
LOT_1003,BATCH_514,WFR_20,1477.4,454.2,673.2,12.78,0.753,8,85.62,Pass
LOT_1003,BATCH_515,WFR_21,1512.6,449.4,674.1,11.99,0.729,11,85.09,Pass
LOT_1003,BATCH_515,WFR_22,1553.8,455.7,680.9,13.18,0.665,11,86.27,Pass
LOT_1003,BATCH_515,WFR_23,1498.7,450.9,652.2,12.58,0.623,0,99.06,Pass
LOT_1003,BATCH_515,WFR_24,1554.8,434.6,654.9,13.15,0.693,11,84.3,Fail
LOT_1003,BATCH_515,WFR_25,1408.3,462.0,634.6,12.21,0.678,16,76.83,Fail
LOT_1004,BATCH_516,WFR_01,1528.8,444.1,642.1,13.23,0.706,7,90.85,Pass
LOT_1004,BATCH_516,WFR_02,1503.0,431.3,665.4,12.81,0.682,7,88.3,Pass
LOT_1004,BATCH_516,WFR_03,1489.5,444.9,680.1,12.72,0.6,14,81.58,Fail
LOT_1004,BATCH_516,WFR_04,1503.2,468.0,646.5,12.59,0.681,6,91.09,Pass
LOT_1004,BATCH_516,WFR_05,1430.4,460.2,638.7,12.4,0.685,11,83.49,Fail
LOT_1004,BATCH_517,WFR_06,1492.3,445.8,650.0,12.98,0.732,4,92.87,Pass
LOT_1004,BATCH_517,WFR_07,1512.5,445.8,665.0,12.56,0.665,9,85.14,Pass
LOT_1004,BATCH_517,WFR_08,1551.7,446.1,613.9,11.71,0.784,11,86.02,Pass
LOT_1004,BATCH_517,WFR_09,1481.9,474.9,592.6,12.05,0.604,14,79.25,Fail
LOT_1004,BATCH_517,WFR_10,1471.7,454.6,636.2,12.43,0.766,10,87.68,Pass
LOT_1004,BATCH_518,WFR_11,1482.4,455.2,619.5,12.62,0.689,11,85.83,Pass
LOT_1004,BATCH_518,WFR_12,1532.0,462.4,637.3,12.48,0.743,9,85.92,Pass
LOT_1004,BATCH_518,WFR_13,1511.5,452.9,646.3,12.99,0.704,4,90.93,Pass
LOT_1004,BATCH_518,WFR_14,1481.5,446.9,638.7,11.72,0.757,7,90.34,Pass
LOT_1004,BATCH_518,WFR_15,1518.0,447.6,686.3,12.56,0.681,10,86.36,Pass
LOT_1004,BATCH_519,WFR_16,1503.4,449.1,658.2,11.77,0.645,6,90.11,Pass
LOT_1004,BATCH_519,WFR_17,1533.9,449.6,657.5,12.8,0.771,8,89.34,Pass
