LOT,WF,TKIN time,SiO2 Under SiN depo THK,SiO2 Under SiN CMP THK,etch RF reflect power,ashing time,pre clean chemical flow rate,Chamber,Chuck center temp,Chuck Edge temp,Chamber pressure,Precursor,Precursor flow rate,RF Power,RF reflect Power Max,Main process time,PRE PC,PRE THK AVG,POST THK AVG,EDGE CENTER,POST PC
DAA.1,1,44929.16,150,140,10.8,300,999.1,A,120,100,1200,SiH4,50,300,0.58,120,100,8703,12808,243,140
DAA.1,2,44929.16,150.5,140.3,11.32,300.1,997.1,B,120,100,1200,SiH4,50,300,1.43,120,77,8715,12708,207,102
DAA.1,3,44929.16,153,141.5,8.11,300.1,998,A,120,100,1200,SiH4,50,300,1.64,120,80,8733,12872,262,140
DAA.1,4,44929.16,151.1,140.6,13.3,300.1,1000.2,B,120,100,1200,SiH4,50,300,1.89,120,82,8687,12710,216,134
DAA.1,5,44929.16,151,140.5,11.76,299.9,999.2,A,120,100,1200,SiH4,50,300,0.95,120,127,8722,12807,253,136
DAA.1,6,44929.16,156,143,8.85,299.9,998.4,B,120,100,1200,SiH4,50,300,1.6,120,80,8693,12668,208,79
DAA.1,7,44929.16,151.9,140.9,14.59,300,1003.9,A,120,100,1200,SiH4,50,300,1.56,120,97,8698,12801,251,191
DAA.1,8,44929.16,149.5,139.8,8.49,300.1,1001.6,B,120,100,1200,SiH4,50,300,0.99,120,110,8699,12698,209,118
DAA.1,9,44929.16,147.4,138.7,7.91,300.1,997.2,A,120,100,1200,SiH4,50,300,1.56,120,122,8687,12747,262,132
DAA.1,10,44929.16,145,137.5,6.76,299.9,1001.4,B,120,100,1200,SiH4,50,300,16.71,120,114,8662,12631,190,1202
DAA.1,11,44929.16,152.6,141.3,9.74,299.9,999.5,A,120,100,1200,SiH4,50,300,1.56,120,85,8681,12736,228,148
DAA.1,12,44929.16,148.2,139.1,6.12,300.1,998.8,B,120,100,1200,SiH4,50,300,1.7,120,117,8690,12695,183,135
DAA.1,13,44929.16,148.8,139.4,12.44,300,999.9,A,120,100,1200,SiH4,50,300,1.22,120,92,8772,12839,262,217
DAA.1,14,44929.16,147.5,138.8,11.08,300,993.7,B,120,100,1200,SiH4,50,300,1.79,120,110,8778,12787,197,146
DAA.1,15,44929.16,144.6,137.3,14.25,300,998.4,A,120,100,1200,SiH4,50,300,1.14,120,116,8687,12793,242,135
DAA.1,16,44929.16,150.4,140.2,10.19,300.1,1001.4,B,120,100,1200,SiH4,50,300,1.5,120,84,8680,12655,199,120
DAA.1,17,44929.16,148.6,139.3,15.52,300,1002.4,A,120,100,1200,SiH4,50,300,1.36,120,105,8679,12739,232,177
DAA.1,18,44929.16,152.5,141.2,8.66,300.1,1000.2,B,120,100,1200,SiH4,50,300,1.21,120,101,8691,12662,212,146
DAA.1,19,44929.16,147.4,138.7,8.23,300,1001.7,A,120,100,1200,SiH4,50,300,1.36,120,115,8657,12719,257,177
DAA.1,20,44929.16,146.4,138.2,12.24,300,998.5,B,120,100,1200,SiH4,50,300,1.08,120,101,8703,12690,195,130
DAA.1,21,44929.16,151,140.5,16.79,299.9,1005,A,120,100,1200,SiH4,50,300,9.7,120,89,8656,12767,275,978
DAA.1,22,44929.16,149.2,139.6,9.46,300,999.5,B,120,100,1200,SiH4,50,300,1.26,120,130,8711,12686,202,181
DAA.1,23,44929.16,149.7,139.8,17.6,299.8,1003.5,A,120,100,1200,SiH4,50,300,1.67,120,102,8709,12826,277,110
DAA.1,24,44929.16,147.5,138.8,9.31,300.1,1000.1,B,120,100,1200,SiH4,50,300,1.88,120,28,8706,12718,211,79
DAA.1,25,44929.16,149.3,139.6,7.76,299.9,1002.2,A,120,100,1200,SiH4,50,300,1.76,120,121,8697,12826,254,130
DAB.1,1,44930.43,149.8,139.9,9.9,299.9,1001,A,120,100,1200,SiH4,50,300,1.5,120,100,8703,12743,228,140
DAB.1,2,44930.43,152,141,11.21,300,1002.4,B,120,100,1200,SiH4,50,300,2.26,120,77,8715,12775,210,102
DAB.1,3,44930.43,150.5,140.2,6.68,299.9,1001,A,120,100,1200,SiH4,50,300,1.66,120,80,8733,12864,266,140
DAB.1,4,44930.43,150.8,140.4,13.05,300,1002.2,B,120,100,1200,SiH4,50,300,0.88,120,82,8687,12680,193,134
DAB.1,5,44930.43,148.8,139.4,10.89,300.3,1002.1,A,120,100,1200,SiH4,50,300,1.76,120,127,8722,12841,247,136
DAB.1,6,44930.43,148.2,139.1,8.68,299.8,998.2,B,120,100,1200,SiH4,50,300,1.3,120,80,8693,12737,225,79
DAB.1,7,44930.43,148.9,139.4,12.4,300,999.2,A,120,100,1200,SiH4,50,300,0.94,120,97,8698,12797,249,191
DAB.1,8,44930.43,145.2,137.6,6.41,300,1002.2,B,120,100,1200,SiH4,50,300,1.54,120,110,8699,12673,194,118
DAB.1,9,44930.43,153.4,141.7,7.86,300.2,1000.8,A,120,100,1200,SiH4,50,300,0.26,120,122,8687,12738,262,132
DAB.1,10,44930.43,145.8,137.9,10.38,300,1002.8,B,120,100,1200,SiH4,50,300,1.64,120,114,8662,12674,192,87
DAB.1,11,44930.43,149.8,139.9,10.49,300,997.5,A,120,100,1200,SiH4,50,300,1.89,120,85,8681,12788,228,148
DAB.1,12,44930.43,149.2,139.6,11.42,299.9,1001.2,B,120,100,1200,SiH4,50,300,1.79,120,117,8690,12721,193,135
DAB.1,13,44930.43,149.4,139.7,8.57,300,1002.5,A,120,100,1200,SiH4,50,300,2.01,120,92,8772,12876,268,217
DAB.1,14,44930.43,150.7,140.4,9.64,300.1,999.4,B,120,100,1200,SiH4,50,300,1.34,120,110,8778,12809,204,146
DAB.1,15,44930.43,144.9,137.4,9,299.9,1000.1,A,120,100,1200,SiH4,50,300,0.56,120,116,8687,12782,263,135
DAB.1,16,44930.43,153,141.5,9.22,299.9,996.8,B,120,100,1200,SiH4,50,300,1.58,120,84,8680,12736,196,120
DAB.1,17,44930.43,151.1,140.6,11.85,300.1,1003.1,A,120,100,1200,SiH4,50,300,1.15,120,105,8679,12711,234,177
DAB.1,18,44930.43,148.3,139.1,9.29,300.1,1000.6,B,120,100,1200,SiH4,50,300,1.05,120,101,8691,12702,195,146
DAB.1,19,44930.43,150.6,140.3,6.2,299.9,999.1,A,120,100,1200,SiH4,50,300,0.92,120,115,8657,12799,245,177
DAB.1,20,44930.43,149.4,139.7,14.86,300,998.4,B,120,100,1200,SiH4,50,300,1.86,120,101,8703,12680,201,130
DAB.1,21,44930.43,150.9,140.5,12.52,299.9,1003.5,A,120,100,1200,SiH4,50,300,11.1,120,89,8656,12734,242,1901
DAB.1,22,44930.43,148.6,139.3,8.38,299.9,997.7,B,120,100,1200,SiH4,50,300,1.75,120,130,8711,12767,207,181
DAB.1,23,44930.43,153,141.5,10.4,299.8,999.9,A,120,100,1200,SiH4,50,300,1.61,120,102,8709,12789,235,110
DAB.1,24,44930.43,151.6,140.8,10.93,300.2,999.2,B,120,100,1200,SiH4,50,300,1.37,120,28,8706,12725,213,79
DAB.1,25,44930.43,151.2,140.6,8.89,300,998.4,A,120,100,1200,SiH4,50,300,1.57,120,121,8697,12820,232,130
DAC.1,1,44930.49,150.7,140.3,11.73,300,1002.8,A,120,100,1200,SiH4,50,300,0.97,120,100,8703,12743,242,140
DAC.1,2,44930.49,148.5,139.3,10.39,299.9,1001.6,B,120,100,1200,SiH4,50,300,1.98,120,77,8715,12715,222,102
DAC.1,3,44930.49,150.4,140.2,6.93,300,1000.5,A,120,100,1200,SiH4,50,300,1.31,120,80,8733,12841,242,140
DAC.1,4,44930.49,144.8,137.4,8.41,300.1,997.3,B,120,100,1200,SiH4,50,300,1.6,120,82,8687,12673,196,134
DAC.1,5,44930.49,150.8,140.4,2.49,300.1,1000.3,A,120,100,1200,SiH4,50,300,1.96,120,127,8722,12826,278,136
DAC.1,6,44930.49,153.1,141.6,6.85,300,995.9,B,120,100,1200,SiH4,50,300,1.13,120,80,8693,12711,213,79
DAC.1,7,44930.49,149.9,139.9,9.48,300,1000.3,A,120,100,1200,SiH4,50,300,1.55,120,97,8698,12788,264,191
DAC.1,8,44930.49,151.5,140.8,9.21,300.1,999.8,B,120,100,1200,SiH4,50,300,0.97,120,110,8699,12631,193,118
DAC.1,9,44930.49,146.5,138.2,14.73,299.9,1000.9,A,120,100,1200,SiH4,50,300,2.35,120,122,8687,12785,269,132
DAC.1,10,44930.49,148.9,139.4,13.57,300,1005.6,B,120,100,1200,SiH4,50,300,1.84,120,114,8662,12672,195,87
DAC.1,11,44930.49,148.2,139.1,7.56,300.1,997.2,A,120,100,1200,SiH4,50,300,1.15,120,85,8681,12795,264,148
DAC.1,12,44930.49,146.5,138.2,6.14,300,1002.5,B,120,100,1200,SiH4,50,300,1.82,120,117,8690,12671,203,135
DAC.1,13,44930.49,148.5,139.3,8.12,300,1002.3,A,120,100,1200,SiH4,50,300,0.49,120,92,8772,12806,250,217
DAC.1,14,44930.49,151,140.5,8.56,300.1,1004.2,B,120,100,1200,SiH4,50,300,1.29,120,110,8778,12754,196,146
DAC.1,15,44930.49,150.6,140.3,9.77,300,1001.2,A,120,100,1200,SiH4,50,300,1.58,120,116,8687,12774,248,135
DAC.1,16,44930.49,149.6,139.8,8.91,299.9,1003.9,B,120,100,1200,SiH4,50,300,1.45,120,84,8680,12665,212,120
DAC.1,17,44930.49,149,139.5,5.95,299.9,1003,A,120,100,1200,SiH4,50,300,1.85,120,105,8679,12797,250,177
DAC.1,18,44930.49,150.2,140.1,12.64,300.1,999.7,B,120,100,1200,SiH4,50,300,1.35,120,101,8691,12622,207,146
DAC.1,19,44930.49,148.7,139.3,12.82,300,1002.2,A,120,100,1200,SiH4,50,300,1.86,120,115,8657,12710,252,177
DAC.1,20,44930.49,155.3,142.6,15.66,299.9,999.9,B,120,100,1200,SiH4,50,300,1.67,120,101,8703,12713,204,130
DAC.1,21,44930.49,153.4,141.7,12.98,299.8,1001.5,A,120,100,1200,SiH4,50,300,0.84,120,89,8656,12744,246,90
DAC.1,22,44930.49,152.5,141.2,7.26,299.8,998.9,B,120,100,1200,SiH4,50,300,16.24,120,130,8711,12709,202,1182
DAC.1,23,44930.49,151.9,140.9,5.72,300,996.9,A,120,100,1200,SiH4,50,300,1.44,120,102,8709,12758,263,110
DAC.1,24,44930.49,148,139,9.56,300,1000.5,B,120,100,1200,SiH4,50,300,2.01,120,28,8706,12676,190,79
DAC.1,25,44930.49,150.9,140.5,14.49,300.1,1001.7,A,120,100,1200,SiH4,50,300,1.7,120,121,8697,12741,242,130
DAD.1,1,44930.54,151.7,140.9,13.14,299.9,1000.2,A,120,100,1200,SiH4,50,300,0.66,120,100,8703,12784,269,140
DAD.1,2,44930.54,149.7,139.8,5.67,300.1,999,B,120,100,1200,SiH4,50,300,0.81,120,77,8715,12745,192,102
DAD.1,3,44930.54,149.4,139.7,11.62,300.1,1001,A,120,100,1200,SiH4,50,300,2.15,120,80,8733,12800,243,140
